D:\Y_Drive\YandexDisk\YandexDisk\rheo\RheoWin\Data\2026\05_may_proj\SCTNA_60_PyrO_40_Katal68_2\1500v\SCTNA_60_PyrO_40_Katal68_2_freq=01hz_U=1500v_30_points_ver1.rwd
Company / Operator: iam / rheo
Date / Time / Version: 28.05.2026 / 14:42:49 / HAAKE RheoWin 4.63.0004

;t in s;t_seg in s;Tau in Pa;G' in Pa;G'' in Pa;|Eta*| in Pas;Gamma in -;f in Hz;T in °C;
1|1;220,9;215,7;110,0;109700;6778;174900;0,001001;0,1000;20,57;
1|2;464,8;459,6;137,6;108100;7291;172500;0,001270;0,1000;20,55;
1|3;708,7;703,4;169,7;105200;8713;168000;0,001608;0,1000;20,56;
1|4;952,6;947,3;207,4;100700;10310;161100;0,002048;0,1000;20,57;
1|5;1196;1191;249,0;95110;11500;152500;0,002600;0,1000;20,57;
1|6;1440;1435;299,2;89730;12340;144200;0,003304;0,1000;20,56;
1|7;1684;1679;356,1;84210;12710;135500;0,004181;0,1000;20,57;
1|8;1928;1923;422,4;78560;13090;126800;0,005304;0,1000;20,57;
1|9;2172;2167;496,4;72480;13710;117400;0,006730;0,1000;20,57;
1|10;2416;2411;581,1;66580;13840;108200;0,008544;0,1000;20,58;
1|11;2658;2653;668,3;60220;13520;98230;0,01083;0,1000;20,56;
1|12;2901;2896;773,1;54840;13010;89700;0,01372;0,1000;20,59;
1|13;3145;3140;899,5;50030;12400;82030;0,01745;0,1000;20,58;
1|14;3394;3389;1051;45990;11890;75610;0,02213;0,1000;20,59;
1|15;3637;3632;1226;42140;11600;69570;0,02804;0,1000;20,58;
1|16;3881;3876;1435;38870;11030;64310;0,03553;0,1000;20,58;
1|17;4129;4123;1634;34850;10630;57990;0,04484;0,1000;20,59;
1|18;4371;4366;1902;31600;10350;52920;0,05721;0,1000;20,58;
1|19;4614;4609;2179;28320;10110;47850;0,07249;0,1000;20,59;
1|20;4857;4852;2496;25260;10190;43350;0,09166;0,1000;20,59;
1|21;5100;5095;2850;22130;10520;39000;0,1163;0,1000;20,59;
1|22;5348;5343;3236;18820;11500;35110;0,1467;0,1000;20,61;
1|23;5590;5585;3569;15280;12540;31460;0,1805;0,1000;20,60;
1|24;5838;5833;2240;19700;11010;35920;0,09922;0,1000;20,60;
1|25;6037;6032;11980;334,2;791,1;1367;13,95;0,1000;20,61;
1|26;6182;6176;17820;122,1;936,2;1503;18,88;0,1000;20,62;
1|27;6326;6320;17820;181,0;903,8;1467;19,33;0,1000;20,62;
1|28;6470;6465;17820;189,8;1004;1625;17,45;0,1000;20,61;
1|29;6614;6608;17820;147,6;978,7;1575;18,00;0,1000;20,62;
1|30;6758;6752;17820;147,4;1100;1766;16,06;0,1000;20,63;
