D:\Y_Drive\YandexDisk\YandexDisk\rheo\RheoWin\Data\2026\05_may_proj\SCTNA_60_PyrO_40_Katal68_2\2000v\bad\SCTNA_60_PyrO_40_Katal68_2_freq=01hz_U=2000v_30_points_ver1.rwd
Company / Operator: iam / rheo
Date / Time / Version: 01.06.2026 / 12:50:42 / HAAKE RheoWin 4.63.0004

;t in s;t_seg in s;Tau in Pa;G' in Pa;G'' in Pa;|Eta*| in Pas;Gamma in -;f in Hz;T in °C;
1|1;197,9;192,8;6953;3118;1675;5633;1,964;0,1000;20,56;
1|2;441,8;436,6;471,8;371500;54200;597600;0,001257;0,1000;20,54;
1|3;685,7;680,6;593,1;374000;35880;597900;0,001579;0,1000;20,54;
1|4;928,2;923,0;764,9;374600;21120;597200;0,002039;0,1000;20,54;
1|5;1170;1165;983,0;378200;18860;602600;0,002596;0,1000;20,53;
1|6;1418;1413;1241;377000;18340;600800;0,003287;0,1000;20,54;
1|7;1667;1662;1557;372100;19110;593000;0,004178;0,1000;20,54;
1|8;1909;1904;1949;366900;20050;584800;0,005306;0,1000;20,54;
1|9;2153;2148;2415;358400;21420;571400;0,006727;0,1000;20,55;
1|10;2397;2392;2934;343400;22790;547700;0,008527;0,1000;20,54;
1|11;2640;2635;3535;325900;24210;520200;0,01082;0,1000;20,55;
1|12;2882;2877;4272;310200;26910;495500;0,01372;0,1000;20,55;
1|13;3126;3121;5157;294500;28690;471000;0,01743;0,1000;20,56;
1|14;3370;3365;6168;277100;35550;444700;0,02208;0,1000;20,55;
1|15;3614;3609;7159;253700;42240;409300;0,02784;0,1000;20,56;
1|16;3857;3852;7967;230200;49930;374900;0,03383;0,1000;20,58;
1|17;4105;4100;5313;257400;40380;414700;0,02039;0,1000;20,58;
1|18;4303;4298;12280;3074;3759;7728;2,529;0,1000;20,58;
1|19;4448;4443;17820;925,7;4580;7437;3,814;0,1000;20,58;
1|20;4592;4587;17820;620,9;4639;7450;3,807;0,1000;20,58;
1|21;4736;4731;17820;539,3;4583;7344;3,862;0,1000;20,59;
1|22;4880;4874;17820;514,0;4514;7231;3,922;0,1000;20,59;
1|23;5023;5018;17820;500,2;4502;7209;3,934;0,1000;20,59;
1|24;5168;5163;17820;407,8;4447;7108;3,990;0,1000;20,59;
1|25;5311;5306;17820;308,0;4353;6946;4,083;0,1000;20,59;
1|26;5456;5451;17820;245,1;4319;6885;4,119;0,1000;20,59;
1|27;5600;5595;17820;161,4;4365;6952;4,080;0,1000;20,60;
1|28;5744;5739;17820;120,7;4481;7134;3,976;0,1000;20,59;
1|29;5888;5883;17820;121,1;4505;7172;3,954;0,1000;20,60;
1|30;6032;6027;17820;137,6;4539;7228;3,924;0,1000;20,60;
