D:\Y_Drive\YandexDisk\YandexDisk\rheo\RheoWin\Data\2026\05_may_proj\SCTNA_60_PyrO_40_Katal68_2\1500v\good\SCTNA_60_PyrO_40_Katal68_2_freq=_from_01hz_to_100hz_U=1500v_30_points_ver1_good.rwd
Company / Operator: iam / rheo
Date / Time / Version: 28.05.2026 / 14:42:49 / HAAKE RheoWin 4.63.0004

;t in s;t_seg in s;Tau in Pa;G' in Pa;G'' in Pa;|Eta*| in Pas;Gamma in -;f in Hz;T in °C;
1|1;220,9;215,7;110,0;109700;6778;174900;0,001001;0,1000;20,57;
1|2;464,8;459,6;137,6;108100;7291;172500;0,001270;0,1000;20,55;
1|3;708,7;703,4;169,7;105200;8713;168000;0,001608;0,1000;20,56;
1|4;952,6;947,3;207,4;100700;10310;161100;0,002048;0,1000;20,57;
1|5;1196;1191;249,0;95110;11500;152500;0,002600;0,1000;20,57;
1|6;1440;1435;299,2;89730;12340;144200;0,003304;0,1000;20,56;
1|7;1684;1679;356,1;84210;12710;135500;0,004181;0,1000;20,57;
1|8;1928;1923;422,4;78560;13090;126800;0,005304;0,1000;20,57;
1|9;2172;2167;496,4;72480;13710;117400;0,006730;0,1000;20,57;
1|10;2416;2411;581,1;66580;13840;108200;0,008544;0,1000;20,58;
1|11;2658;2653;668,3;60220;13520;98230;0,01083;0,1000;20,56;
1|12;2901;2896;773,1;54840;13010;89700;0,01372;0,1000;20,59;
1|13;3145;3140;899,5;50030;12400;82030;0,01745;0,1000;20,58;
1|14;3394;3389;1051;45990;11890;75610;0,02213;0,1000;20,59;
1|15;3637;3632;1226;42140;11600;69570;0,02804;0,1000;20,58;
1|16;3881;3876;1435;38870;11030;64310;0,03553;0,1000;20,58;
1|17;4129;4123;1634;34850;10630;57990;0,04484;0,1000;20,59;
1|18;4371;4366;1902;31600;10350;52920;0,05721;0,1000;20,58;
1|19;4614;4609;2179;28320;10110;47850;0,07249;0,1000;20,59;
1|20;4857;4852;2496;25260;10190;43350;0,09166;0,1000;20,59;
1|21;5100;5095;2850;22130;10520;39000;0,1163;0,1000;20,59;
1|22;5348;5343;3236;18820;11500;35110;0,1467;0,1000;20,61;
1|23;5590;5585;3569;15280;12540;31460;0,1805;0,1000;20,60;
1|24;5838;5833;2240;19700;11010;35920;0,09922;0,1000;20,60;
1|25;6037;6032;11980;334,2;791,1;1367;13,95;0,1000;20,61;
1|26;6182;6176;17820;122,1;936,2;1503;18,88;0,1000;20,62;
1|27;6326;6320;17820;181,0;903,8;1467;19,33;0,1000;20,62;
1|28;6470;6465;17820;189,8;1004;1625;17,45;0,1000;20,61;
1|29;6614;6608;17820;147,6;978,7;1575;18,00;0,1000;20,62;
1|30;6758;6752;17820;147,4;1100;1766;16,06;0,1000;20,63;
2|1;6869;91,46;78,43;78490;4795;25030;0,0009974;0,5000;20,61;
2|2;6971;194,0;101,3;79760;5309;25450;0,001267;0,5000;20,61;
2|3;7073;296,0;127,5;79000;6055;25220;0,001609;0,5000;20,62;
2|4;7175;398,0;159,2;77650;6763;24810;0,002042;0,5000;20,62;
2|5;7278;500,8;196,0;75060;7356;24010;0,002598;0,5000;20,63;
2|6;7380;602,6;239,9;72480;7671;23200;0,003292;0,5000;20,63;
2|7;7483;705,3;292,9;69660;8043;22320;0,004176;0,5000;20,62;
2|8;7586;808,3;355,9;66580;8468;21360;0,005303;0,5000;20,60;
2|9;7687;910,1;429,7;63240;9080;20340;0,006726;0,5000;20,59;
2|10;7789;1012;513,2;59420;9627;19160;0,008526;0,5000;20,60;
2|11;7892;1115;608,9;55300;10010;17890;0,01084;0,5000;20,61;
2|12;7995;1218;721,4;51530;10110;16710;0,01374;0,5000;20,61;
2|13;8097;1319;858,6;48190;10150;15670;0,01744;0,5000;20,61;
2|14;8199;1422;1026;45220;10240;14760;0,02213;0,5000;20,63;
2|15;8301;1524;1225;42400;10340;13890;0,02808;0,5000;20,64;
2|16;8404;1627;1448;39300;10380;12940;0,03562;0,5000;20,63;
2|17;8507;1729;1727;36690;10570;12150;0,04522;0,5000;20,62;
2|18;8609;1831;2035;33810;10900;11310;0,05729;0,5000;20,61;
2|19;8711;1933;2403;30990;11460;10520;0,07274;0,5000;20,61;
2|20;8813;2036;2819;28200;11690;9718;0,09233;0,5000;20,61;
2|21;8916;2139;3305;25560;11920;8976;0,1172;0,5000;20,62;
2|22;9019;2242;3895;23120;12260;8331;0,1488;0,5000;20,62;
2|23;9121;2344;4584;20580;12890;7728;0,1888;0,5000;20,62;
2|24;9223;2446;5333;17560;13690;7088;0,2395;0,5000;20,61;
2|25;9325;2548;6085;14330;14300;6445;0,3005;0,5000;20,62;
2|26;9427;2650;6338;12710;14230;6074;0,3321;0,5000;20,62;
2|27;9530;2753;5932;13250;13870;6104;0,3093;0,5000;20,62;
2|28;9633;2856;10850;3157;9379;3150;1,097;0,5000;20,62;
2|29;9728;2950;8367;3311;3896;1627;1,636;0,5000;20,62;
2|30;9786;3009;17820;505,8;4553;1458;3,890;0,5000;20,62;
3|1;9873;75,16;98,26;98390;7807;15710;0,0009955;1,000;20,63;
3|2;9958;160,0;125,4;98650;8188;15750;0,001267;1,000;20,64;
3|3;10040;244,8;156,0;96410;8597;15400;0,001612;1,000;20,63;
3|4;10130;329,8;192,1;93750;8902;14990;0,002040;1,000;20,63;
3|5;10210;414,5;235,8;90470;9073;14470;0,002593;1,000;20,62;
3|6;10300;499,3;287,8;86900;9290;13910;0,003294;1,000;20,63;
3|7;10380;584,1;349,4;83090;9638;13310;0,004177;1,000;20,62;
3|8;10470;669,0;423,2;79180;10180;12710;0,005300;1,000;20,62;
3|9;10550;753,9;510,7;75130;10850;12080;0,006727;1,000;20,62;
3|10;10640;838,6;616,8;71330;11520;11500;0,008537;1,000;20,61;
3|11;10720;923,5;747,4;67870;12590;10990;0,01083;1,000;20,61;
3|12;10810;1008;903,7;64320;13570;10460;0,01375;1,000;20,61;
3|13;10890;1093;1084;60520;14360;9899;0,01743;1,000;20,61;
3|14;10980;1178;1280;56000;14750;9217;0,02210;1,000;20,61;
3|15;11060;1263;1497;51320;14750;8498;0,02804;1,000;20,63;
3|16;11150;1348;1761;47180;14780;7868;0,03562;1,000;20,62;
3|17;11230;1432;2078;43550;14820;7322;0,04517;1,000;20,63;
3|18;11310;1517;2431;39770;14740;6751;0,05731;1,000;20,62;
3|19;11400;1602;2845;36210;14700;6219;0,07281;1,000;20,61;
3|20;11480;1687;3309;32720;14590;5702;0,09237;1,000;20,61;
3|21;11570;1772;3884;29760;14600;5276;0,1172;1,000;20,60;
3|22;11650;1857;4609;27070;15070;4931;0,1488;1,000;20,60;
3|23;11740;1941;5499;24030;16500;4639;0,1887;1,000;20,61;
3|24;11820;2026;6476;20300;18090;4328;0,2382;1,000;20,62;
3|25;11910;2111;7545;17320;18750;4062;0,2956;1,000;20,61;
3|26;11990;2196;8642;14860;18430;3768;0,3650;1,000;20,61;
3|27;12080;2281;9724;13130;18000;3546;0,4364;1,000;20,63;
3|28;12160;2366;10320;12560;17590;3440;0,4774;1,000;20,63;
3|29;12250;2450;10370;12810;16370;3309;0,4990;1,000;20,63;
3|30;12320;2523;16110;4547;11070;1904;1,347;1,000;20,63;
4|1;12380;47,61;66,54;65400;4372;2086;0,001015;5,000;20,64;
4|2;12430;102,8;85,61;67410;4613;2151;0,001267;5,000;20,62;
4|3;12490;157,9;108,8;67160;4917;2144;0,001615;5,000;20,62;
4|4;12540;213,1;137,7;67430;5426;2153;0,002036;5,000;20,62;
4|5;12600;268,2;172,3;66300;5896;2119;0,002589;5,000;20,62;
4|6;12650;322,8;213,2;64270;6473;2056;0,003300;5,000;20,62;
4|7;12710;377,8;263,5;62890;6786;2014;0,004165;5,000;20,62;
4|8;12770;435,0;324,4;60560;7257;1942;0,005319;5,000;20,61;
4|9;12820;491,0;396,0;58290;7877;1872;0,006732;5,000;20,61;
4|10;12880;546,0;489,3;56620;8342;1822;0,008550;5,000;20,61;
4|11;12930;602,7;598,9;54540;8966;1759;0,01084;5,000;20,60;
4|12;12990;658,8;735,1;52610;9536;1702;0,01375;5,000;20,61;
4|13;13050;714,3;895,1;50420;9931;1636;0,01742;5,000;20,60;
4|14;13100;770,2;1082;47760;10320;1555;0,02214;5,000;20,61;
4|15;13160;826,1;1310;45410;10740;1485;0,02807;5,000;20,62;
4|16;13210;881,1;1577;42900;11080;1410;0,03560;5,000;20,62;
4|17;13270;937,8;1892;40270;11380;1332;0,04522;5,000;20,63;
4|18;13320;991,6;2287;38070;11770;1268;0,05739;5,000;20,63;
4|19;13380;1048;2761;35990;12100;1209;0,07271;5,000;20,63;
4|20;13440;1105;3322;33830;12240;1145;0,09235;5,000;20,63;
